"","baseMean_riborna","log2FoldChange_riborna","padj_riborna","symb","biotype","baseMean_rna","log2FoldChange_rna","padj_rna","baseMean_ribo","log2FoldChange_ribo","padj_ribo","tx_type","log10_padj_riborna","symb_deplot","nudgey","nudgex"
"ENSG00000100106.22",987.32128827058,-1.41937968187003,6.68066303662425e-17,"TRIOBP","all genes",3488.57336289498,0.633096674216727,1.88502198781978e-13,231.765026917888,-0.773532163798286,8.68349351415365e-05,"TE_down",-16.1751804329051,NA,NA,NA
"ENSG00000163466.16",1358.9452757628,-1.04490132221656,1.09713288729989e-16,"ARPC2","all genes",4050.61509704314,0.217424861449746,0.0238166558497036,442.546207413179,-0.813868733233147,1.6090613941758e-10,"TE_down",-15.9597407664765,NA,NA,NA
"ENSG00000159461.15",914.294232064384,-1.44541560789003,1.30966254044914e-16,"AMFR","all genes",3402.43208482076,0.730088224570707,2.68908008228773e-19,186.392317459152,-0.70504432701576,0.00398450099546103,"TE_down",-15.8828405941921,NA,NA,NA
"ENSG00000087460.25",4195.35386918221,-0.706394502497582,1.68267597889319e-16,"GNAS","all genes",9971.38224214514,0.122390001896083,0.241375890986918,1782.69444274057,-0.569725043896853,1.3898372553415e-20,"TE_down",-15.7739995050144,NA,NA,NA
"ENSG00000115758.13",1669.49611505668,-1.33983038996785,1.68267597889319e-16,"ODC1","all genes",7087.1692898402,0.0251838091976956,0.898802058985841,197.255079049302,-1.29969466695052,1.56940443303046e-11,"TE_down",-15.7739995050144,"ODC1",-0.5,0.3
"ENSG00000138166.6",1963.58109991163,-0.962799612765365,1.00786548103796e-15,"DUSP5","all genes",6784.52416961868,0.719066227073955,1.22687033117321e-23,486.37807210151,-0.228766077655344,0.320855568544826,"TE_down",-14.9965974289435,NA,NA,NA
"ENSG00000163848.19",690.001942694586,-1.65078309903473,1.22242432065375e-15,"ZNF148","all genes",2616.95392688304,0.948904845288458,2.8799842790123e-26,132.546772386754,-0.684934491949746,0.0340310265652361,"TE_down",-14.9127780182083,NA,NA,NA
"ENSG00000269900.3",23579.1811120897,0.651353340310427,1.43827528777762e-14,"RMRP","all genes",89462.0524196094,-0.200575617831197,0.0083164439541814,4540.23001600087,0.465530295340547,7.59464891970288e-19,"TE_up",-13.8421579814633,NA,NA,0
"ENSG00000277027.1",23579.1811120897,0.651353340310427,1.43827528777762e-14,"RMRP","all genes",89462.0524196094,-0.200575617831197,0.0083164439541814,4540.23001600087,0.465530295340547,7.59464891970288e-19,"TE_up",-13.8421579814633,NA,NA,0
"ENSG00000111640.15",26445.1450944151,0.475188630416567,4.49935782845661e-14,"GAPDH","all genes",77258.3713194649,-0.458691295618613,2.02693931028879e-13,8882.70469688248,0.0311098620963024,0.893857835276547,"TE_up",-13.3468494665489,NA,NA,0
"ENSG00000174437.17",2155.9612834225,-1.06039686235454,4.80664045486621e-14,"ATP2A2","all genes",4133.73728911596,0.112861741616496,0.474652397054406,1078.33413927863,-0.933019410795366,3.95075207340977e-35,"TE_down",-13.3181583626451,NA,NA,NA
"ENSG00000176903.5",408.586153103477,-1.62426993043467,4.88503038020552e-14,"PNMA1","all genes",952.875278142601,0.973302024162028,7.80928645212637e-17,176.515854901745,-0.634158768841499,0.0192090397070648,"TE_down",-13.3111327310415,NA,NA,NA
"ENSG00000199377.1",11579.7518362984,1.27387646994443,4.88503038020552e-14,"RNU5F-1","all genes",121.621272651996,0.192683608032045,0.779901085441207,9438.12459768505,1.51082917973536,0,"TE_up",-13.3111327310415,"RNU5F-1",0.4,0
"ENSG00000110713.17",1579.31161162042,-0.81532323968234,8.27540416737907e-14,"NUP98","all genes",4152.69125110494,0.610511876211841,4.5217992095733e-15,605.561083313581,-0.190988626091491,0.353234855295443,"TE_down",-13.0822107862681,NA,NA,NA
"ENSG00000239264.9",1880.46583803636,-0.950378623909467,1.26838240484561e-13,"TXNDC5","all genes",6500.50133367611,0.516201590395578,2.86090792589295e-11,465.355648238794,-0.420546111795831,0.00573085456971226,"TE_down",-12.8967497911888,NA,NA,NA
"ENSG00000182979.18",615.727826796237,-1.42857449091139,1.60800174493904e-13,"MTA1","all genes",1959.18572544811,0.705496586772745,1.13908318809871e-12,180.061372405249,-0.710185807207183,0.00306022157000758,"TE_down",-12.7937134843083,NA,NA,NA
"ENSG00000072062.14",572.29624149685,-1.22822047875014,3.46464215672919e-13,"PRKACA","all genes",1105.0031813437,0.119505115457422,0.546470180238138,284.945805182038,-1.09350984749189,5.75398232740762e-12,"TE_down",-12.4603416145538,NA,NA,NA
"ENSG00000107338.10",296.456571369936,-1.98572358107774,3.46464215672919e-13,"SHB","all genes",1016.09646708025,1.09626457603877,3.61986908288115e-20,74.6887577968764,-0.87606490222186,0.0388158033231241,"TE_down",-12.4603416145538,NA,NA,NA
"ENSG00000004975.12",541.806088585065,-1.31224344090871,8.78390510338121e-13,"DVL2","all genes",1537.49911076939,0.696947313752564,1.32162547312846e-11,189.102214796454,-0.601629737829665,0.0150311227800102,"TE_down",-12.0563123647542,"DVL2",-0.5,0.3
"ENSG00000149782.11",1114.69638015691,-1.20789554008442,9.33994884862393e-13,"PLCB3","all genes",3313.39193290701,0.628296309816507,1.43172869223654e-10,364.409296889025,-0.56502799588009,0.000303772306736675,"TE_down",-12.0296555022304,NA,NA,NA
"ENSG00000165671.20",1433.7167143934,-1.01234514047197,1.32635114596959e-12,"NSD1","all genes",5694.64824367789,0.847760586784707,7.00299863511992e-32,233.339040019881,-0.151408797145417,0.811073175777074,"TE_down",-11.8773414830442,NA,NA,NA
"ENSG00000149218.5",999.717835658351,-1.17199007059676,1.57520913830815e-12,"ENDOD1","all genes",3564.16082092825,0.210134736735212,0.0339094672694541,229.608538601638,-0.949863726314703,7.41887332108625e-07,"TE_down",-11.802661777377,NA,NA,NA
"ENSG00000065613.15",868.661178097754,-1.06494352528217,1.66421127808539e-12,"SLK","all genes",2813.56201391701,0.679059847565778,4.72088993170473e-16,246.015587570565,-0.369334128150582,0.18672867676754,"TE_down",-11.7787915391739,NA,NA,NA
"ENSG00000141568.21",772.377428316432,-1.29190353755126,2.20610302578572e-12,"FOXK2","all genes",3005.79980305014,0.754537675490029,1.25962392250133e-19,135.864711340966,-0.524827523983956,0.141433797407228,"TE_down",-11.6563742097175,NA,NA,NA
"ENSG00000150991.15",4869.53110211515,0.586541434972768,2.79443768054043e-12,"UBC","all genes",11441.7442561253,-0.481014271253358,1.32162547312846e-11,2093.15104636848,0.120235987854178,0.289875552980426,"TE_up",-11.5537055712509,NA,NA,0
"ENSG00000123989.14",1271.98751337614,-1.08264520036219,3.2648530106993e-12,"CHPF","all genes",3203.67059096593,0.3328601957424,0.00200772641498354,510.687814417314,-0.735084960394148,3.2889360332248e-10,"TE_down",-11.4861363666337,NA,NA,NA
"ENSG00000259040.5",1819.48473893075,-0.894808641321764,5.49341652588407e-12,"BLOC1S5-TXNDC5","all genes",6524.15522264462,0.509684706886037,3.76111181631547e-11,411.780187393934,-0.371588867006236,0.0378119453992438,"TE_down",-11.2601574703333,NA,NA,NA
"ENSG00000132463.14",1262.92258410761,-0.883827728397853,6.16803055076329e-12,"GRSF1","all genes",3618.35595493524,0.672416997317991,2.4461093563198e-16,435.345052056743,-0.196513475099935,0.486834133727276,"TE_down",-11.2098534838554,NA,NA,NA
"ENSG00000126261.13",579.046759303433,-1.50609368126306,1.28416689785587e-11,"UBA2","all genes",2277.9335062762,0.683222796322549,5.06623921969012e-13,97.8512373955829,-0.806996094121447,0.0225340889050673,"TE_down",-10.8913785291429,NA,NA,NA
"ENSG00000167671.12",447.098570244278,-1.66092552892696,2.07293605381362e-11,"UBXN6","all genes",1595.20172767302,0.639921124463096,1.00749440358072e-08,102.384092069099,-1.00808816144321,0.0012983452249525,"TE_down",-10.6834140948691,NA,NA,NA
"ENSG00000074181.9",373.293822300311,-1.69308804957096,4.02529152509406e-11,"NOTCH3","all genes",758.828423903524,0.484922381657955,0.00272599362513125,179.556639868581,-1.19330117667173,1.57908804644256e-08,"TE_down",-10.3952026610961,NA,NA,NA
"ENSG00000112851.14",1391.01721105198,-0.879037607280641,1.48162247488541e-10,"ERBIN","all genes",5228.09475572178,0.175787779300589,0.0659875553669693,275.446309250722,-0.689600463529422,9.19209273643756e-05,"TE_down",-9.82926244275401,NA,NA,NA
"ENSG00000108819.11",639.173386205733,-1.30557722949135,1.9666122925818e-10,"PPP1R9B","all genes",2367.77113128277,0.675741952539756,4.88766905860158e-13,132.089285493175,-0.617595539840094,0.058073478783926,"TE_down",-9.70628125054776,NA,NA,NA
"ENSG00000179295.17",1559.31883769287,-1.17158072898024,1.9666122925818e-10,"PTPN11","all genes",6983.08214986747,0.133762303041399,0.183207615628458,124.470044258593,-1.02800516364469,0.000159796244063994,"TE_down",-9.70628125054776,NA,NA,NA
"ENSG00000149136.9",2391.27078738624,-0.824484500248564,3.95761407767928e-10,"SSRP1","all genes",6032.11919394737,0.342427591317539,0.000250687795836887,958.762479076777,-0.4675828230087,7.01299276891399e-08,"TE_down",-9.40256655780671,NA,NA,NA
"ENSG00000209082.1",8760.52063593059,0.636148688096079,5.15661081944724e-10,"MT-TL1","all genes",1567.43042275981,-0.204733955012059,0.134781919528724,6890.89781543657,0.446203848651879,4.32724239343533e-19,"TE_up",-9.28763564449875,NA,NA,0
"ENSG00000116285.13",3827.71433818424,-0.576087792872857,5.76175333104081e-10,"ERRFI1","all genes",11730.2837796671,0.428118888168988,2.92200505741513e-09,1194.3119198995,-0.133750934482908,0.37452672182165,"TE_down",-9.23944533842994,NA,NA,NA
"ENSG00000139697.14",845.776297372919,-1.12960342560472,8.46645272981471e-10,"SBNO1","all genes",3216.33370147528,0.373968067737241,2.32864124450872e-05,161.237598150698,-0.738891739753359,0.00581309602336085,"TE_down",-9.07229851204872,NA,NA,NA
"ENSG00000123908.12",959.01375586925,-1.28514672243854,9.41185468120313e-10,"AGO2","all genes",3928.48531142117,0.503459171594156,2.7873779274483e-08,136.515226672145,-0.763451231438511,0.0086202600966131,"TE_down",-9.02632478694,NA,NA,NA
"ENSG00000102572.14",1057.66199776986,-0.967565398495329,9.71954117232494e-10,"STK24","all genes",3621.83917804412,0.556595143117673,7.79030522370304e-11,267.387906791428,-0.394830029226093,0.111285770884106,"TE_down",-9.01235423620857,NA,NA,NA
"ENSG00000117519.16",1171.63753436096,-0.813698553888502,1.33420175488476e-09,"CNN3","all genes",2873.40250798958,0.358987794764079,0.000121722667767885,483.29520001433,-0.439282924662433,0.00245634391549727,"TE_down",-8.87477849245253,NA,NA,NA
"ENSG00000165209.19",283.750835556751,-1.77810094326353,1.56179276700451e-09,"STRBP","all genes",1019.36488646619,0.502363157971428,8.57275871366543e-05,63.8538991597545,-1.26005745176819,0.00224939527055116,"TE_down",-8.80637659281286,NA,NA,NA
"ENSG00000074800.16",13705.6825741216,0.344454286452513,2.31345815574061e-09,"ENO1","all genes",25118.1983598609,-0.428366372579217,7.24154618921435e-11,7053.43552470353,-0.0692807901627601,0.487605963790558,"TE_up",-8.63573835131658,NA,NA,0
"ENSG00000167771.6",188.804505677011,-2.25838503881398,2.573245818687e-09,"RCOR2","all genes",650.395953338487,1.32843568221683,4.78500969476232e-20,47.0116451248037,-0.923043204334513,0.149490980772126,"TE_down",-8.5895187242444,"RCOR2",-0.5,0.3
"ENSG00000198363.18",2345.45757910783,-0.637202378242055,3.52485729216412e-09,"ASPH","all genes",6903.05228453869,0.122125861080065,0.26950295380196,778.608138283,-0.50021384013578,1.61222128321727e-07,"TE_down",-8.45285846122017,NA,NA,NA
"ENSG00000176407.18",661.911931285567,-1.10027970144115,3.65108934082118e-09,"KCMF1","all genes",2398.97293100432,0.976668430137841,1.98091186171232e-30,145.519174001647,-0.107556032759676,0.932289545707162,"TE_down",-8.43757753989308,NA,NA,NA
"ENSG00000114120.14",506.116904859288,-1.49083708075322,3.76350460260756e-09,"SLC25A36","all genes",2033.26137355688,0.814730856939395,1.37537556445742e-18,78.5578144557461,-0.652649418610866,0.207776259541232,"TE_down",-8.42440754850553,NA,NA,NA
"ENSG00000184216.14",746.02124419532,-1.46374388627907,4.39846546547567e-09,"IRAK1","all genes",3322.59022577073,1.53342149365222,1.32475876867739e-78,62.1075752432311,0.0871549841017401,0.964068759109316,"TE_down",-8.35669881354024,NA,NA,NA
"ENSG00000141429.13",483.585383243977,-1.75201895097534,4.87797950615808e-09,"GALNT1","all genes",2053.12090795665,0.469525902285372,1.75281904920773e-05,57.003058654371,-1.26514400396259,0.00496133399440753,"TE_down",-8.31176002861867,NA,NA,NA
"ENSG00000152558.15",1464.06823486937,-0.770872065389498,5.97024766562699e-09,"TMEM123","all genes",4512.89559564601,0.106598850013231,0.393493340675053,452.464201357491,-0.650942081138913,7.2645911125192e-07,"TE_down",-8.22400765252488,NA,NA,NA
"ENSG00000170759.11",2603.78684806567,-0.735078825803724,6.51006180032738e-09,"KIF5B","all genes",8046.72503948273,0.210103280424818,0.0171272078724531,801.350785009447,-0.510524662617219,6.55430306019651e-07,"TE_down",-8.18641488863399,NA,NA,NA
"ENSG00000112655.16",956.594514311517,-0.87906601545771,7.05915716172869e-09,"PTK7","all genes",2609.0043374603,0.648982478536522,5.54631736793848e-13,351.365245269721,-0.216698787716972,0.502279715310151,"TE_down",-8.15124714907021,NA,NA,NA
"ENSG00000060656.20",330.480447459662,-1.58302243862736,1.54537999667269e-08,"PTPRU","all genes",1227.36920383607,0.580753211729906,4.85483715281761e-07,67.7730887097819,-0.98817892210764,0.0210642198040457,"TE_down",-7.81096471354233,NA,NA,NA
"ENSG00000141424.13",1321.11580380504,-0.750553732011229,1.63057657926444e-08,"SLC39A6","all genes",3475.55264033061,0.171812591344212,0.125458857463961,506.271754618886,-0.56454800841473,7.02612384236913e-06,"TE_down",-7.78765879994236,NA,NA,NA
"ENSG00000115415.19",922.022708540887,-0.988862846791199,1.71329001180649e-08,"STAT1","all genes",2041.53718612073,0.574460806476796,4.26453893316977e-09,416.355328462273,-0.399662551589145,0.0307432736981758,"TE_down",-7.7661691169722,NA,NA,NA
"ENSG00000186298.12",1449.31956318347,-0.90433171482159,1.71329001180649e-08,"PPP1CC","all genes",4591.42220611264,0.235946381773002,0.0131025562065431,427.503396732119,-0.652859149905957,8.39886830330554e-06,"TE_down",-7.7661691169722,NA,NA,NA
"ENSG00000099956.19",624.123352453757,-1.05790729660551,2.15806160594198e-08,"SMARCB1","all genes",1159.9172073862,0.774604548604902,1.44895221919294e-10,318.312950508355,-0.269026869789535,0.346668166376612,"TE_down",-7.66593616172041,NA,NA,NA
"ENSG00000198793.13",840.58103632576,-0.890032939045659,2.56137355866119e-08,"MTOR","all genes",2546.8772471256,0.558061856598369,5.54923657212993e-10,266.974841732806,-0.317700095046127,0.277525730649243,"TE_down",-7.59152707805861,NA,NA,NA
"ENSG00000259001.3",36279.5368240676,0.701356653875112,2.59174123459182e-08,"AL355075.4","all genes",168264.116541222,-0.163324748126381,0.145172601919519,1954.36503068379,0.551977974308102,4.41673648308305e-20,"TE_up",-7.5864083615973,NA,NA,0
"ENSG00000277209.1",36279.5368240676,0.701356653875112,2.59174123459182e-08,"RPPH1","all genes",168264.116541222,-0.163324748126381,0.145172601919519,1954.36503068379,0.551977974308102,4.41673648308305e-20,"TE_up",-7.5864083615973,NA,NA,0
"ENSG00000099331.13",640.728162542252,-1.05694897044111,3.70984352511521e-08,"MYO9B","all genes",1864.59133177003,0.68786123501316,2.66902841170452e-11,216.061810388619,-0.354297363742259,0.269079274500079,"TE_down",-7.43064440780063,NA,NA,NA
"ENSG00000121892.15",1950.48770864564,-0.660829158884712,3.75017732203511e-08,"PDS5A","all genes",7000.94543979655,0.25619957552451,0.00194438613157071,440.454369693831,-0.390974512953842,0.0150311227800102,"TE_down",-7.42594819676277,NA,NA,NA
"ENSG00000133216.16",323.185926992512,-1.59015135282458,4.12045890508535e-08,"EPHB2","all genes",1150.58986907212,0.503844808687325,3.63965949597096e-05,74.4474557569877,-1.06592229124877,0.00829756706349775,"TE_down",-7.38505441288734,NA,NA,NA
"ENSG00000158246.8",108.913718065823,-2.39935848299728,4.56494971713247e-08,"TENT5B","all genes",369.536304464734,1.50181548725765,1.02122207884954e-17,28.0444401528801,-0.883575434663368,0.392326739863147,"TE_down",-7.34056400185195,"TENT5B",-0.5,0.3
"ENSG00000143537.13",706.866654430937,-1.0030861301649,4.61853605234469e-08,"ADAM15","all genes",2444.07141386813,0.364914441845423,0.00020487771177045,174.831608302449,-0.623293082290545,0.0154112742445991,"TE_down",-7.33549566192025,NA,NA,NA
"ENSG00000048828.17",1208.34822074532,-0.798944883356833,5.56053004564797e-08,"FAM120A","all genes",3878.17787550725,0.298597549633736,0.00161553209922277,348.180005528904,-0.486106016855825,0.00477435352926581,"TE_down",-7.25488380825099,NA,NA,NA
"ENSG00000104067.16",1544.70849242509,-0.895669419336997,7.74923115182424e-08,"TJP1","all genes",4000.23975751329,0.429590245312218,5.08724060105306e-05,602.285833405362,-0.451298041905549,0.000113794062677418,"TE_down",-7.11074138434324,NA,NA,NA
"ENSG00000134318.14",1529.13774691172,-0.673270775578394,1.12393517467083e-07,"ROCK2","all genes",4630.25661289729,0.0220511451724874,0.911085399937467,486.286654829282,-0.636553497417698,2.14352629561863e-07,"TE_down",-6.94925873689385,NA,NA,NA
"ENSG00000133872.14",733.153859477341,-0.898340293515352,1.17878895543087e-07,"SARAF","all genes",2345.93120496151,0.327260406338867,0.00109507390212516,212.415885480795,-0.556830154308563,0.017931229805625,"TE_down",-6.92856394189057,NA,NA,NA
"ENSG00000144567.11",676.751760739944,-1.44250830059503,1.3877301227303e-07,"RETREG2","all genes",3053.36959714448,0.89271430778913,8.89779685132843e-28,50.0599086373025,-0.53389963794018,0.553246051264491,"TE_down",-6.85769498460527,NA,NA,NA
"ENSG00000178035.12",2985.82456458587,0.510651742026575,1.76602618538242e-07,"IMPDH2","all genes",6774.87944178211,-0.21421053095247,0.0168214698253829,1323.03474701259,0.311117983443875,7.75240460543268e-05,"TE_up",-6.75300286130048,NA,NA,0
"ENSG00000148925.10",309.239986569454,-1.47446124704632,2.53636085625956e-07,"BTBD10","all genes",1132.30831294485,0.556004558835316,2.80732820338169e-06,66.0909808079323,-0.903331004788958,0.0501666879137144,"TE_down",-6.59578895791437,NA,NA,NA
"ENSG00000067225.18",15255.5290925566,0.346790522170727,2.74849638266578e-07,"PKM","all genes",27862.6753029557,-0.443015683335989,2.40202907950597e-11,7866.651950848,-0.0817773833033165,0.339586199556138,"TE_up",-6.56090483027887,NA,NA,0
"ENSG00000122741.16",256.143866225543,-1.5744774164178,3.18620767885883e-07,"DCAF10","all genes",901.028220042329,0.978370883597272,2.53816359389269e-16,60.769474881919,-0.575219570538832,0.442356551730818,"TE_down",-6.49672592004685,NA,NA,NA
"ENSG00000130829.18",117.557914242043,-2.30892563874953,3.28610548881947e-07,"DUSP9","all genes",329.72482454628,1.29862358684854,1.99352977112119e-10,41.6248027885929,-1.00008572513754,0.124648781013791,"TE_down",-6.48331849918554,"DUSP9",-0.5,0.3
"ENSG00000205476.9",415.440627397043,-1.43074311152251,3.79358275222898e-07,"CCDC85C","all genes",1715.19760782425,1.04786075521092,1.21000526171174e-27,56.8556499924021,-0.371724936168774,0.730793257844814,"TE_down",-6.42095043790954,NA,NA,NA
"ENSG00000138434.17",4925.54735760393,-0.572008651158215,5.25570309219458e-07,"ITPRID2","all genes",19773.3731607271,0.146616262474621,0.0976202772220303,768.686367148918,-0.410041851880664,0.000211346005485086,"TE_down",-6.27936917713619,NA,NA,NA
"ENSG00000105701.16",1170.35770750622,-0.8399057210278,5.27830567011491e-07,"FKBP8","all genes",3427.43090636227,0.111715885701179,0.460196578191374,391.210586434512,-0.713707166764901,3.78467324472229e-07,"TE_down",-6.27750546311175,NA,NA,NA
"ENSG00000210082.2",1522054.92236673,0.50297698802563,7.80674009164474e-07,"MT-RNR2","all genes",6683051.04475076,-0.147460611424467,0.13476066458967,143780.396212749,0.370219440859885,4.3149267888556e-09,"TE_up",-6.10753027928056,NA,NA,0
"ENSG00000152990.14",277.781752350176,-1.61129026955224,7.91333113954148e-07,"ADGRA3","all genes",1095.00255995139,0.724757198756623,4.78207124281368e-10,46.5562452701697,-0.870243673967665,0.171737219042355,"TE_down",-6.10164066049938,NA,NA,NA
"ENSG00000171345.13",11012.7611996687,0.395265065008687,9.26939159748695e-07,"KRT19","all genes",13749.7891199637,-0.317926099372158,8.52729584769846e-06,6724.83093973752,0.0920458278684462,0.345920200992267,"TE_up",-6.03294877011929,NA,NA,0
"ENSG00000115977.19",548.068566058232,-0.97400469868761,9.63033790639927e-07,"AAK1","all genes",1680.79055627632,0.287275675949944,0.0148927069370365,170.747318104698,-0.670921955516202,0.00807140753622397,"TE_down",-6.01635847421399,NA,NA,NA
"ENSG00000072803.17",591.81098563222,-1.30537421845189,1.11173033508766e-06,"FBXW11","all genes",2447.88877235712,0.4173826578679,9.21401911580319e-05,80.407902225501,-0.872553178283883,0.0334352445789962,"TE_down",-5.9540005438565,NA,NA,NA
"ENSG00000117906.14",713.453292697957,-0.981177836587989,1.3581967465636e-06,"RCN2","all genes",2150.19975578337,-0.127434002202854,0.44553968950323,228.510778464698,-1.09437353206676,1.08935384706429e-09,"TE_down",-5.86703731418084,NA,NA,NA
"ENSG00000198938.2",16482.5065740756,0.370319611899188,1.73905269356162e-06,"MT-CO3","all genes",70239.9739594599,-0.0997330068413947,0.2961418139788,1906.82829067595,0.284856942271758,3.17837115409331e-05,"TE_up",-5.75968725860894,NA,NA,0
"ENSG00000096384.20",14934.7882405015,0.321205967275614,1.83603513787709e-06,"HSP90AB1","all genes",36258.7328501049,-0.422973761380761,4.56108837917881e-11,6226.35227690725,-0.0873224992899218,0.347417806674636,"TE_up",-5.73611901156609,NA,NA,0
"ENSG00000099875.14",948.224617220602,-0.820792410967766,2.29786840781405e-06,"MKNK2","all genes",3277.5002071876,-0.171659746028762,0.13511066587489,234.83389808101,-0.978316468200533,4.71986625218828e-08,"TE_down",-5.63867484570717,NA,NA,NA
"ENSG00000167680.16",344.85611555547,-1.39108233648378,2.39714813326661e-06,"SEMA6B","all genes",1310.79658751049,1.00683217661923,2.13632107283336e-19,65.7602770669359,-0.368487099315198,0.696941692155073,"TE_down",-5.62030512763824,NA,NA,NA
"ENSG00000134452.19",502.327655938452,-1.05406552416847,2.4347714297444e-06,"FBH1","all genes",1745.52196770044,0.588355570773107,2.25787130073552e-09,122.809914286069,-0.449679823124695,0.334903120072406,"TE_down",-5.6135418030161,NA,NA,NA
"ENSG00000071054.16",945.418333572927,-1.05186806646077,2.46412370238276e-06,"MAP4K4","all genes",3618.26810054389,0.529172953915608,4.56680521913553e-07,176.419448187486,-0.507485688232853,0.0836522835536239,"TE_down",-5.60833749378289,NA,NA,NA
"ENSG00000160007.19",853.187056314991,-1.06505670525131,2.63804912998923e-06,"ARHGAP35","all genes",3309.74549952339,0.64471317099986,1.16404313433849e-10,151.85115649843,-0.405383944939788,0.314740937813145,"TE_down",-5.57871712058475,NA,NA,NA
"ENSG00000115694.15",535.226745389097,-0.960953222878461,2.83940752339601e-06,"STK25","all genes",1706.9611990372,0.626107078399524,2.02496227478824e-10,155.960992536326,-0.323672580755609,0.50589912957003,"TE_down",-5.54677227127805,NA,NA,NA
"ENSG00000150867.14",1187.57959148515,-0.69690208379301,2.83940752339601e-06,"PIP4K2A","all genes",4271.66933871112,0.498192607754172,3.42383026160374e-10,266.632450228851,-0.183882485354776,0.692522293821336,"TE_down",-5.54677227127805,NA,NA,NA
"ENSG00000109917.11",427.587712019125,-1.22553751576168,2.92674620343565e-06,"ZPR1","all genes",1608.33980797359,1.02391723283528,5.71554355553193e-26,84.342011958846,-0.195889919235138,0.892748314097253,"TE_down",-5.53361493633844,NA,NA,NA
"ENSG00000131626.18",593.034527305939,-1.0000902664589,2.92674620343565e-06,"PPFIA1","all genes",2177.39088233881,0.556127356981661,4.46981957354698e-09,125.812440047156,-0.427657351001996,0.344853981109911,"TE_down",-5.53361493633844,NA,NA,NA
"ENSG00000140848.17",365.991288698837,-1.27777272267826,3.06734868380056e-06,"CPNE2","all genes",1303.30575721206,0.393952445902868,0.00100833781678776,84.276872351776,-0.874702691933533,0.0262924008601807,"TE_down",-5.51323685236993,NA,NA,NA
"ENSG00000159692.15",855.966456014522,-0.837758434528764,3.4827598645667e-06,"CTBP1","all genes",2371.51505775227,0.522522600344528,1.58244610593664e-07,308.337067926156,-0.30019904129959,0.272003140645525,"TE_down",-5.45807646900684,NA,NA,NA
"ENSG00000143321.19",1713.91359850677,-0.65061393433697,3.64802616559107e-06,"HDGF","all genes",5847.37945058324,0.390762824267373,3.68528718468342e-07,436.999204652677,-0.243685852395135,0.335080391290166,"TE_down",-5.43794205534059,NA,NA,NA
