"","baseMean_riborna","log2FoldChange_riborna","padj_riborna","symb","biotype","baseMean_rna","log2FoldChange_rna","padj_rna","baseMean_ribo","log2FoldChange_ribo","padj_ribo","tx_type","log10_padj_riborna","symb_deplot","nudgey","nudgex","five_cds_iaa_dmso","five_cds_IAA3Y_IAA3XWT","Tx_class"
"ENSG00000183864.5",314.637656580806,-1.76812943536385,6.68243879936424e-13,"TOB2","all genes",643.472784691434,1.2272627631345,2.13284569391276e-16,155.559641473865,-0.534474563245258,0.205269872534003,"TE_down",-12.175065010008,NA,NA,NA,0.0853854335937024,-0.597553155664158,"TE_down"
"ENSG00000159461.15",680.577838806301,-1.42863377797668,8.17323985819096e-13,"AMFR","all genes",2091.9695535116,0.763367443947234,2.24330632695064e-15,166.389854461873,-0.662349104066386,0.0527677413074134,"TE_down",-12.0876057557539,NA,NA,NA,0.214716832626491,-0.550228022248643,"TE_down"
"ENSG00000163466.16",1193.44577739085,-1.09819866971825,9.97265386688683e-13,"ARPC2","all genes",3174.86891712475,0.256317280812544,0.0204905432033621,411.746510047376,-0.835506290008174,3.46098884499847e-08,"TE_down",-12.0011892542887,NA,NA,NA,0.994807855549135,-0.792157890312299,"TE_down"
"ENSG00000149782.11",1114.23022372381,-1.21576421640443,1.04470463354566e-12,"PLCB3","all genes",3110.11613950922,0.646918571798192,6.48255638549044e-10,348.940375022914,-0.562049396820145,0.0035802704783311,"TE_down",-11.9810064790774,NA,NA,NA,0.760824302994955,-0.367357953400304,"TE_down"
"ENSG00000182979.18",574.832832770308,-1.45079457069581,1.5610082906224e-12,"MTA1","all genes",1624.84527452419,0.751632405361378,5.65069132402635e-12,175.048140638355,-0.694043178290408,0.0212769821151302,"TE_down",-11.8065947903636,NA,NA,NA,1.31007700180362,0.603395483543853,"TE_down"
"ENSG00000163848.19",414.290587383384,-1.70310530835867,5.49507563492712e-12,"ZNF148","all genes",1270.73294135128,0.971051638805244,2.12206141650419e-17,101.948254741732,-0.721949412107509,0.171824538523182,"TE_down",-11.2600263255143,NA,NA,NA,0.0635968501551384,0.344949772465168,"TE_down"
"ENSG00000074181.9",336.935512488805,-1.69059728518013,6.34599620543653e-12,"NOTCH3","all genes",654.969727282231,0.523118522273956,0.0021957327254778,174.82534163132,-1.16106682883107,2.81055722756778e-06,"TE_down",-11.1975001919202,NA,NA,NA,0.365802947205021,0.655351828612554,"TE_down"
"ENSG00000179295.17",683.469274528133,-1.70990152718679,6.34599620543653e-12,"PTPN11","all genes",2429.52383356258,0.17563900489368,0.201113017853822,87.2989250568563,-1.53278427132127,2.86538867926649e-05,"TE_down",-11.1975001919202,NA,NA,NA,1.32299178321269,0.335462712274443,"TE_down"
"ENSG00000123989.14",1025.43746969966,-1.14137744446684,1.32832179026922e-11,"CHPF","all genes",2397.7939967411,0.355052207702947,0.00332870094365453,433.95522499607,-0.779216470169681,1.8303909652175e-07,"TE_down",-10.8766967029731,NA,NA,NA,0.542145609255249,-0.399816787642759,"TE_down"
"ENSG00000004975.12",476.999273853624,-1.32112859203416,2.93763793538662e-10,"DVL2","all genes",1236.39441605475,0.712372220588048,3.09729991571128e-10,172.459495566164,-0.603363289698523,0.0773343009309069,"TE_down",-9.53200173215141,"DVL2",-0.5,0.3,0.385664393580792,-0.39474510253504,"TE_down"
"ENSG00000167671.12",390.059821215407,-1.62882476356749,3.02106795604826e-10,"UBXN6","all genes",1189.77400384255,0.617842016697181,9.87319262267186e-07,97.5787049949136,-1.00637196293562,0.0101170446967599,"TE_down",-9.51983950557583,NA,NA,NA,0.228566913059082,-0.583816029554847,"TE_down"
"ENSG00000126261.13",550.046592683739,-1.48066156317786,6.56802132004341e-10,"UBA2","all genes",1849.91327129596,0.701092892562041,3.29344422334821e-11,95.8225796745756,-0.771358791874529,0.10782203127752,"TE_down",-9.18256544615016,NA,NA,NA,-0.264729415646377,-0.510488190481799,"TE_down"
"ENSG00000141568.21",513.174904614038,-1.36657487321946,1.85133666924122e-09,"FOXK2","all genes",1627.81949117329,0.729795490746469,1.58681211026367e-12,113.217386603874,-0.631281943841524,0.196445192079613,"TE_down",-8.73251459675316,NA,NA,NA,0.569327803793933,0.178052422080204,"TE_down"
"ENSG00000065613.15",737.194573261214,-1.14978932438859,2.00374033175859e-09,"SLK","all genes",2163.72888008231,0.692668151270671,5.95178791038722e-13,205.130104187795,-0.446825692993533,0.2656592092014,"TE_down",-8.69815856014573,NA,NA,NA,0.67510506770726,0.20205472606765,"TE_down"
"ENSG00000138166.6",1003.61778250805,-1.00666059663524,2.32460385114664e-09,"DUSP5","all genes",2558.54121701162,0.702601329122413,3.12134349153912e-13,373.354835884608,-0.297026979087258,0.375813272326417,"TE_down",-8.63365104704061,NA,NA,NA,0.495867394559949,-0.0192159105534245,"TE_down"
"ENSG00000167771.6",144.694233874419,-2.63270419255981,2.38988014169309e-09,"RCOR2","all genes",480.868438474486,1.35322011759577,5.80934307172981e-18,26.5777217409899,-1.28819173639795,0.2656592092014,"TE_down",-8.62162387943119,"RCOR2",-0.5,0.3,0.901032204842912,0.900464326449086,"TE_down"
"ENSG00000072062.14",442.521049113316,-1.23001232055248,3.62722688575135e-09,"PRKACA","all genes",675.3911665404,0.157729855842717,0.516673881544459,274.543368641814,-1.06456636618585,7.87856487616283e-09,"TE_down",-8.44042527812565,NA,NA,NA,0.900876044073263,-0.0698683303369938,"TE_down"
"ENSG00000165209.19",250.507157389047,-1.94721045766293,3.62722688575135e-09,"STRBP","all genes",802.453117331333,0.546551876570996,0.000142864858085709,53.3568368103708,-1.39276549399126,0.0112606650995935,"TE_down",-8.44042527812565,NA,NA,NA,0.532665420875732,-1.08997515366735,"TE_down"
"ENSG00000165671.20",1310.18961069463,-1.03830113217563,3.62722688575135e-09,"NSD1","all genes",4499.36267790535,0.848977359023253,5.86335447109302e-24,205.684699210136,-0.183837046380248,0.890423558962031,"TE_down",-8.44042527812565,NA,NA,NA,0.150037966435048,0.213426825598847,"TE_down"
"ENSG00000170759.11",1952.01058468944,-0.860853727641141,4.48979586973279e-09,"KIF5B","all genes",5332.63930275654,0.245046003707748,0.01644137796632,639.621974524266,-0.608321268197606,3.8939595300997e-06,"TE_down",-8.34777340391069,NA,NA,NA,0.600081510563222,-0.0779204480878391,"TE_down"
"ENSG00000115415.19",670.671429600349,-1.09686205858173,9.03483942430936e-09,"STAT1","all genes",1344.57226731131,0.630380077224859,2.85556649159366e-08,338.224762053085,-0.458576202199786,0.0757596003525982,"TE_down",-8.04407956172575,NA,NA,NA,0.509382948768824,-0.223644940609142,"TE_down"
"ENSG00000123908.12",422.202151441717,-1.3967112255157,9.03483942430936e-09,"AGO2","all genes",1214.61949552371,0.582177638070575,1.28311414961563e-06,123.424920880395,-0.803263129688225,0.0364224199917882,"TE_down",-8.04407956172575,NA,NA,NA,-0.253313083568806,0.361664148403047,"TE_down"
"ENSG00000139697.14",706.49116659954,-1.23614945501932,9.03483942430936e-09,"SBNO1","all genes",2254.0731208555,0.421404780355458,5.86762674104124e-05,152.747445346606,-0.805618561071243,0.0194856541093745,"TE_down",-8.04407956172575,NA,NA,NA,1.26377963051657,-1.54797191377533,"TE_down"
"ENSG00000087460.25",3618.23140156993,-0.683871341295638,9.40116793145043e-09,"GNAS","all genes",7682.0361845042,0.142181243042898,0.24598988228467,1720.74466706255,-0.534541087906774,2.7012747891364e-14,"TE_down",-8.02681818951989,NA,NA,NA,0.00639567602349357,0.225749068913043,"TE_down"
"ENSG00000110713.17",1475.21316922368,-0.826724491368159,9.40116793145043e-09,"NUP98","all genes",3603.02771955666,0.644307517398222,2.63844235350391e-13,587.178581829517,-0.175670487765481,0.661729811060803,"TE_down",-8.02681818951989,NA,NA,NA,0.453259180550279,0.515789418446954,"TE_down"
"ENSG00000239264.9",1151.42833394505,-0.910294111138013,1.41031248513219e-08,"TXNDC5","all genes",2809.27651499375,0.509110104691914,1.62551986432011e-07,458.976374852411,-0.394824180690775,0.0524798770817781,"TE_down",-7.85068464937818,NA,NA,NA,0.223656952352745,-0.351769103895761,"TE_down"
"ENSG00000104067.16",1338.20265219144,-1.00657129302201,1.88492585820151e-08,"TJP1","all genes",3292.43623399966,0.459422480015535,0.000203894152395566,526.72713481375,-0.54001938521188,0.000211529065308009,"TE_down",-7.72470572769013,NA,NA,NA,0.822965214031875,-0.0534462776633992,"TE_down"
"ENSG00000108819.11",471.29849210928,-1.31740348667829,1.88492585820151e-08,"PPP1R9B","all genes",1432.69332883392,0.732546834352208,1.10104464821895e-10,119.115441860982,-0.578285486016741,0.253290281919541,"TE_down",-7.72470572769013,NA,NA,NA,-0.0513065440222457,-2.30124671235578,"TE_down"
"ENSG00000102572.14",747.780118802951,-1.07526957430754,1.94124208784499e-08,"STK24","all genes",2188.29989286954,0.595363000860117,7.68943795260309e-09,209.655861508252,-0.472612773048109,0.180553590369997,"TE_down",-7.71192030136629,NA,NA,NA,0.508466009638316,0.240980434138737,"TE_down"
"ENSG00000149136.9",2109.60695447476,-0.835026626449792,2.96123888260642e-08,"SSRP1","all genes",5151.91895575449,0.359817164212567,0.000543027671827356,839.789145025985,-0.468076991324523,7.54948959627771e-05,"TE_down",-7.52852655674001,NA,NA,NA,0.418655402957754,0.29024299263394,"TE_down"
"ENSG00000176407.18",545.148930213674,-1.23143633242271,2.96123888260642e-08,"KCMF1","all genes",1739.90015073811,1.01821754581907,5.08761919545533e-25,117.688248136752,-0.20446577229363,0.928663133911757,"TE_down",-7.52852655674001,NA,NA,NA,0.738393876025277,0.408122730561168,"TE_down"
"ENSG00000141429.13",376.474687645012,-1.82713677643231,3.75663834541215e-08,"GALNT1","all genes",1332.99493718286,0.473350595551767,0.000501904119614045,49.3502430063828,-1.33992200083345,0.0262612191938903,"TE_down",-7.42520061280246,NA,NA,NA,0.111538588638546,-0.183414751888857,"TE_down"
"ENSG00000184216.14",643.593829017044,-1.50226934824112,4.59779193159734e-08,"IRAK1","all genes",2394.70741775217,1.56400289252762,6.79095104438877e-63,56.0914109535566,0.073173083676863,0.994758575132668,"TE_down",-7.3374506861776,NA,NA,NA,1.18739548667991,NA,"TE_down"
"ENSG00000116285.13",2606.24031254355,-0.715466180600949,5.01998805518682e-08,"ERRFI1","all genes",6601.56726172656,0.455069563470139,2.79592253356442e-07,980.002620486546,-0.253343360316369,0.0759934710057581,"TE_down",-7.29929731623598,NA,NA,NA,0.844511100938177,0.00867448462046531,"TE_down"
"ENSG00000149218.5",500.887632860878,-1.18835423460579,5.01998805518682e-08,"ENDOD1","all genes",1152.06662440382,0.235966713096874,0.142473025025667,216.621698190699,-0.946810796643367,4.68829036981694e-05,"TE_down",-7.29929731623598,NA,NA,NA,0.289350266886117,-0.124306679850554,"TE_down"
"ENSG00000060656.20",299.449488068808,-1.64350822891968,5.53219225423463e-08,"PTPRU","all genes",951.933107981975,0.622021868814148,4.36348031921539e-06,65.5490191934589,-1.01606702065444,0.0658241575532852,"TE_down",-7.25710273573872,NA,NA,NA,-0.0991310618997039,0.280178815039866,"TE_down"
"ENSG00000176903.5",212.997031056617,-1.67117882748272,6.13340010668544e-08,"PNMA1","all genes",563.767214896631,0.915203789498154,4.63835705666059e-10,74.1684329972763,-0.742992647660264,0.281467716257645,"TE_down",-7.21229870358939,NA,NA,NA,0.280150636597317,0.747474248877891,"TE_down"
"ENSG00000132463.14",974.383746482314,-0.90091153539508,8.11132250550343e-08,"GRSF1","all genes",2271.2211616531,0.712535187896076,1.58681211026367e-12,414.231540475984,-0.180919741012845,0.757729022750701,"TE_down",-7.09090833074358,NA,NA,NA,0.619863322291951,-0.293448766166936,"TE_down"
"ENSG00000133216.16",276.26990965911,-1.59646276724234,1.02362564405384e-07,"EPHB2","all genes",834.047782199524,0.489031162484516,0.000520988787827181,71.2316136190938,-1.09380112146005,0.0318630210010256,"TE_down",-6.98985884262505,NA,NA,NA,1.53637489071512,0.165070581039302,"TE_down"
"ENSG00000186298.12",992.209480249955,-0.953067901703095,1.12686356551519e-07,"PPP1CC","all genes",2494.66538865333,0.231373026798954,0.0627653423606312,377.569032944941,-0.71286796592794,7.02874784432711e-05,"TE_down",-6.94812866277443,NA,NA,NA,0.503011222925761,-0.309820794945296,"TE_down"
"ENSG00000117519.16",936.038481487209,-0.897617482131844,1.14331173567734e-07,"CNN3","all genes",2091.97217713479,0.418278269269757,8.73297624865897e-05,419.737503822995,-0.471279393853606,0.0158491622401193,"TE_down",-6.94183533861107,NA,NA,NA,0.481896604020018,0.259684216470617,"TE_down"
"ENSG00000071054.16",886.374615459188,-1.18603144830457,1.21380925965474e-07,"MAP4K4","all genes",2998.20739150166,0.567300637123275,7.26508441852061e-07,150.29135363207,-0.609431326978808,0.134601847842141,"TE_down",-6.91584955377782,NA,NA,NA,0.480427230633272,0.579629724092338,"TE_down"
"ENSG00000099956.19",545.160232396034,-1.0743186016882,1.95734162990477e-07,"SMARCB1","all genes",1003.89815547515,0.814372629683676,6.34252892576901e-10,296.580762344972,-0.252864922503533,0.631148621516054,"TE_down",-6.70833336696651,NA,NA,NA,0.306310588929296,-0.53798635819923,"TE_down"
"ENSG00000143321.19",884.28917291054,-0.931445318795831,2.64982126096736e-07,"HDGF","all genes",2349.46164049571,0.465683390011508,3.92443680755217e-06,305.870939471262,-0.456809368109885,0.0936636623425522,"TE_down",-6.57678341964567,NA,NA,NA,0.707043476269218,0.163800413148844,"TE_down"
"ENSG00000121892.15",1594.99009645455,-0.801796316560598,3.73302315990146e-07,"PDS5A","all genes",5029.16385251724,0.280768439605616,0.00423404340646266,359.405363813618,-0.515197793139677,0.0104382615384197,"TE_down",-6.42793931567611,NA,NA,NA,0.783052909931432,-0.164734768698929,"TE_down"
"ENSG00000107338.10",203.363054429226,-1.99754491550578,3.80827209873683e-07,"SHB","all genes",691.663672675369,1.16305353336774,1.33607792020429e-16,33.5249376995376,-0.840675446820781,0.564606626149969,"TE_down",-6.41927202910106,NA,NA,NA,-0.0640946884732014,0.159554753857972,"TE_down"
"ENSG00000198363.18",1543.23245662738,-0.733012835244235,4.28909626038882e-07,"ASPH","all genes",3551.51426199674,0.154948396562121,0.24598988228467,667.100977720055,-0.570904311484071,2.56583480034008e-06,"TE_down",-6.3676342067601,NA,NA,NA,0.635049628737897,0.219104836440419,"TE_down"
"ENSG00000143537.13",716.009993808459,-1.03903838545217,5.33694108633978e-07,"ADAM15","all genes",2254.43933502614,0.380059288098022,0.000504941569946635,162.088880494152,-0.650541237669744,0.0518842722241183,"TE_down",-6.272707591279,NA,NA,NA,0.514931895416144,0.475242371773469,"TE_down"
"ENSG00000141424.13",1016.85528768021,-0.850759725972347,6.23821312549382e-07,"SLC39A6","all genes",2497.92404922193,0.188476477011924,0.177142214529874,401.199899124709,-0.655397360219036,6.45928130455285e-05,"TE_down",-6.2049397918673,NA,NA,NA,0.635792000076623,0.133015750652381,"TE_down"
"ENSG00000112851.14",1169.13888170171,-0.903189830999491,6.37410902241041e-07,"ERBIN","all genes",3858.24550240676,0.189313767715919,0.111237194212892,221.703488753401,-0.708445364234268,0.00360462832988232,"TE_down",-6.19558051264981,NA,NA,NA,0.177739931978648,-0.00447367203877714,"TE_down"
"ENSG00000152558.15",705.64500416124,-0.904029830241497,6.68227644434396e-07,"TMEM123","all genes",1302.87464411117,0.177397928371868,0.296716903077135,382.987851788217,-0.720383698547337,1.4204792975715e-05,"TE_down",-6.17507556165663,NA,NA,NA,0.614074577911961,-0.342898527608734,"TE_down"
"ENSG00000122741.16",143.323450012458,-1.79108088912501,7.95129338447133e-07,"DCAF10","all genes",352.177012736681,1.13566982127127,1.90619122748159e-10,56.5074242691828,-0.642754606850216,0.56053830233119,"TE_down",-6.09956222177729,NA,NA,NA,-0.707481093692803,NA,"TE_down"
"ENSG00000148925.10",243.600954799615,-1.62015150099402,8.07555847750193e-07,"BTBD10","all genes",768.488386095341,0.540454905512804,0.000153365829991932,54.7682517991976,-1.06919174422843,0.0888990800843557,"TE_down",-6.0928274336643,NA,NA,NA,0.705785287464116,-0.918386234446348,"TE_down"
"ENSG00000099331.13",605.727797135825,-1.03618913262158,8.12049396781048e-07,"MYO9B","all genes",1621.51757581218,0.705123741173999,1.00627193632398e-09,206.5379750607,-0.323220816878841,0.562157805135726,"TE_down",-6.09041755192023,NA,NA,NA,-0.0820255377454286,0.636893429007767,"TE_down"
"ENSG00000152990.14",281.524090176373,-1.80292776403716,8.12049396781048e-07,"ADGRA3","all genes",1000.46756742306,0.740113844947435,2.63018562644499e-09,35.9972760217622,-1.05533497182305,0.269419632021395,"TE_down",-6.09041755192023,NA,NA,NA,0.756807256326834,1.28774533622706,"TE_down"
"ENSG00000196141.14",1107.55775633193,-0.885409410483268,1.06597986470794e-06,"SPATS2L","all genes",2949.71530155818,0.530608985262153,3.25960731609461e-08,381.400155270356,-0.346814465856555,0.272260000380944,"TE_down",-5.97225099861978,NA,NA,NA,0.295333430161512,0.0753017446819912,"TE_down"
"ENSG00000158246.8",66.7000797922784,-2.65716467457832,1.14152349145284e-06,"TENT5B","all genes",171.831890084248,1.62022973316634,1.02149579726025e-09,24.3540362024819,-1.03189648345161,0.498865100077203,"TE_down",-5.94251514672008,"TENT5B",-0.5,0.3,0.813278592958506,-0.966833136064801,"TE_down"
"ENSG00000169967.16",278.205188407954,-1.50206699026268,1.47881160854738e-06,"MAP3K2","all genes",884.722554068238,0.512760136840205,0.000137856265072418,60.8369629960701,-0.98604622388363,0.107623254133407,"TE_down",-5.83008714891021,NA,NA,NA,0.915583893800376,0.235085797167057,"TE_down"
"ENSG00000144567.11",468.38457612124,-1.46993342239752,2.15430001905388e-06,"RETREG2","all genes",1719.13584480342,0.890481335489531,7.59532136409688e-19,46.6226131387338,-0.574317789552138,0.717742335345053,"TE_down",-5.66669381471202,NA,NA,NA,0.475209397488756,-0.760345469699082,"TE_down"
"ENSG00000112655.16",845.25329172578,-0.840447296683348,2.22654114336887e-06,"PTK7","all genes",2047.43713812105,0.659728469569491,6.40284006589449e-11,340.559376704041,-0.174712787683377,0.834967221504928,"TE_down",-5.65236927530349,NA,NA,NA,-0.191516666660691,0.420728356534091,"TE_down"
"ENSG00000175416.14",172.366614193217,-1.6128397539487,2.22654114336887e-06,"CLTB","all genes",433.88087355987,0.457631689772585,0.0197395068572536,65.4444830532283,-1.14658110208537,0.0224229411082451,"TE_down",-5.65236927530349,NA,NA,NA,1.57955332235443,0.175238666434111,"TE_down"
"ENSG00000140848.17",344.092032664413,-1.40224805095718,2.31779112625024e-06,"CPNE2","all genes",1131.08218858573,0.428021729687369,0.00101669014968944,66.3040215079945,-0.97108496548624,0.0870554492543413,"TE_down",-5.63492570418097,NA,NA,NA,0.465115127617577,-0.168275264223219,"TE_down"
"ENSG00000198793.13",813.807937526259,-0.864884550419044,2.76840144528178e-06,"MTOR","all genes",2239.57586846019,0.581619149839012,4.93452928023640e-09,262.680128484209,-0.276619100651372,0.596311133884899,"TE_down",-5.55777093270186,NA,NA,NA,-0.806666996252204,0.376442274205955,"TE_down"
"ENSG00000063245.14",291.927268875411,-1.53467001279101,3.09741629021135e-06,"EPN1","all genes",912.153161813092,0.338190175797853,0.071622590556364,67.7627929931061,-1.18855086141997,0.0141479110502408,"TE_down",-5.509000421898,NA,NA,NA,0.246677105259113,0.132131890584068,"TE_down"
"ENSG00000048828.17",1000.41361724042,-0.823075862318524,3.28736320409219e-06,"FAM120A","all genes",2817.41379877663,0.322115387090547,0.00378354888469337,307.300521126632,-0.49401163777064,0.0338984651447715,"TE_down",-5.48315231027222,NA,NA,NA,0.468523409022322,0.400692380161115,"TE_down"
"ENSG00000117906.14",569.031097524761,-0.985971975031647,5.94413677603122e-06,"RCN2","all genes",1442.46912555708,-0.113461892181284,0.59348790097476,213.653033570401,-1.09303001055004,3.4651795320205e-07,"TE_down",-5.22591120591097,NA,NA,NA,0.383313514028832,0.586565128761617,"TE_down"
"ENSG00000159692.15",610.771298221932,-0.907035482204922,7.86415749853561e-06,"CTBP1","all genes",1515.64480940089,0.573523893383372,1.86091971428296e-07,237.273277181422,-0.325111622864927,0.504729386892517,"TE_down",-5.10434779730461,NA,NA,NA,0.385331335492552,-0.266000702143134,"TE_down"
"ENSG00000130829.18",80.0770613995444,-2.2745881204636,9.90394354527521e-06,"DUSP9","all genes",213.354884918385,1.24318138779189,1.21774512970618e-07,27.5284155634424,-1.03162822044828,0.443380753015888,"TE_down",-5.00419184389396,NA,NA,NA,0.242731439819447,-0.0531951635404295,"TE_down"
"ENSG00000114120.14",177.243389644115,-1.56348247667377,9.95804822133915e-06,"SLC25A36","all genes",489.962366679842,0.750118466350168,4.48595053892949e-06,56.6561611586176,-0.800258550735599,0.317307261165243,"TE_down",-5.00182577500665,NA,NA,NA,0.260994416644711,0.76946438907308,"TE_down"
"ENSG00000109917.11",364.736203202657,-1.23375780662032,1.04454651477478e-05,"ZPR1","all genes",1142.82984563656,1.08846798530361,2.02841626755289e-21,83.8997223749407,-0.147607658011102,0.984786685506295,"TE_down",-4.98107221565474,NA,NA,NA,0.272883143385306,0.019283476214484,"TE_down"
"ENSG00000072803.17",354.506606182148,-1.32216893926986,1.11926385885863e-05,"FBXW11","all genes",1160.87096763217,0.427516980271225,0.00153204346018311,69.3945784126237,-0.883399981776374,0.146060330490469,"TE_down",-4.95106751942514,NA,NA,NA,0.501072310740407,-0.42778123097674,"TE_down"
"ENSG00000168056.16",1124.79712448948,-0.888993509288207,1.26137192660505e-05,"LTBP3","all genes",2049.91820508118,0.88291586200584,1.6988332709421e-12,617.161028749869,0.000640210206098357,0.999041873733936,"TE_down",-4.89915683899689,NA,NA,NA,0.237628041140829,0.53299284759355,"TE_down"
"ENSG00000131626.18",566.946156362155,-1.03158107436366,1.37156033867607e-05,"PPFIA1","all genes",1822.4508231583,0.60490883794392,1.66833960945272e-08,119.259087547593,-0.418049414830279,0.571863562450455,"TE_down",-4.8627850818417,NA,NA,NA,0.202278419413711,0.232423345085011,"TE_down"
"ENSG00000134452.19",508.252891724109,-1.05819616214866,1.37156033867607e-05,"FBH1","all genes",1577.9679076349,0.61810474657198,1.05524607378476e-08,120.475221356065,-0.432600987845963,0.573623974798281,"TE_down",-4.8627850818417,NA,NA,NA,-1.01768227756055,3.14650411304056,"TE_down"
"ENSG00000141503.17",413.401683151701,-1.05939591917306,1.37156033867607e-05,"MINK1","all genes",1075.38158150796,0.50512798918481,0.000182691769576759,148.556337398287,-0.546089719354325,0.199736064858293,"TE_down",-4.8627850818417,NA,NA,NA,0.283712243116537,0.600417972416383,"TE_down"
"ENSG00000133872.14",560.279469310808,-0.935591073612974,1.41305773206179e-05,"SARAF","all genes",1505.10872704401,0.319481645108372,0.0143861696975022,189.76401443127,-0.610063515933777,0.0466598241920833,"TE_down",-4.8498400941998,NA,NA,NA,0.684476800000217,0.229714972090304,"TE_down"
"ENSG00000165097.16",208.121301394106,-1.35205349532589,1.42595515964132e-05,"KDM1B","all genes",514.620544220201,0.576470908659621,0.000594303133167804,81.2787646603312,-0.769028176374778,0.178099319799075,"TE_down",-4.84589413102449,NA,NA,NA,0.685459383024487,0.251028512156365,"TE_down"
"ENSG00000105701.16",1004.89132369151,-0.794557356505653,1.5861096803819e-05,"FKBP8","all genes",2596.73220207337,0.12031296635279,0.496349489629689,365.321940408034,-0.66744254572313,0.000122869017365757,"TE_down",-4.79966678427084,NA,NA,NA,-0.160462781898923,0.255416346513546,"TE_down"
"ENSG00000159840.16",966.697202725609,-0.787474325910086,1.58773455537307e-05,"ZYX","all genes",1985.83165311576,0.723232902227025,9.12097120504382e-11,475.985470011854,-0.0572707286730543,0.985060714678741,"TE_down",-4.79922210315124,NA,NA,NA,0.0493755614629683,-0.0822573133892554,"TE_down"
"ENSG00000134318.14",1188.37615282899,-0.741881497450771,1.64926638515709e-05,"ROCK2","all genes",3127.67477161189,0.0509015221447555,0.818893689282004,418.286639808906,-0.683447629103513,1.27573682870368e-05,"TE_down",-4.78270919259057,NA,NA,NA,0.601220752872591,-0.0460266936151232,"TE_down"
"ENSG00000111885.7",349.254888633776,-1.13281406277964,1.74004267557994e-05,"MAN1A1","all genes",776.837842468577,-0.253894027254457,0.179748407377989,157.474248538795,-1.37761910056371,9.47617812556932e-08,"TE_down",-4.75944010025671,NA,NA,NA,1.00399104542845,0.804443815858094,"TE_down"
