"","baseMean_riborna","log2FoldChange_riborna","padj_riborna","symb","biotype","baseMean_rna","log2FoldChange_rna","padj_rna","baseMean_ribo","log2FoldChange_ribo","padj_ribo","tx_type","log10_padj_riborna","symb_deplot","nudgey","nudgex","log2FCTE"
"ENSG00000100422.14",1815.89013192361,-0.908743816429356,1.68922731857753e-05,"CERK","all genes",7782.98923950725,0.111209481564447,0.447617426188453,255.44171991686,-0.800173229953472,0.0131181297751062,"TE_down",-4.77231190367885,NA,NA,NA,-0.911382711517919
"ENSG00000139697.14",3535.38146033381,-0.718887393058437,1.80645127240913e-05,"SBNO1","all genes",6684.40049845427,0.214204474139368,0.0419509312936998,1740.28951442132,-0.507778583531917,0.0122278521551537,"TE_down",-4.74317374868729,NA,NA,NA,-0.721983057671285
"ENSG00000187605.15",982.544182607075,-1.29120485031003,1.82977564624478e-05,"TET3","all genes",4407.73226337335,0.687697680597425,3.09536618794704e-10,108.355767743656,-0.607888474178104,0.366814209317064,"TE_down",-4.73760215702972,NA,NA,NA,-1.29558615477553
"ENSG00000164713.10",767.432582994485,-1.27129672613563,1.92396944063158e-05,"BRI3","all genes",2749.11308558016,0.592965223558688,5.20100772580897e-08,187.044722976147,-0.683851067520859,0.163212267711801,"TE_down",-4.71580183035978,NA,NA,NA,-1.27681629107955
"ENSG00000025039.15",1696.93485226475,-0.809464779519194,1.93059665448343e-05,"RRAGD","all genes",6919.56272685109,0.129019572122595,0.308999178969359,290.528540458478,-0.683421690803702,0.0323183759685311,"TE_down",-4.71430845073094,NA,NA,NA,-0.812441262926298
"ENSG00000168005.9",1767.50153090332,-1.0572443360703,1.93059665448343e-05,"SPINDOC","all genes",6620.51845057113,0.439558533274742,7.10633827462134e-06,388.51456226615,-0.621669762144033,0.0697225738541682,"TE_down",-4.71430845073094,NA,NA,NA,-1.06122829541877
"ENSG00000089351.14",6163.41411364468,-0.768185468470218,3.30059414540937e-05,"GRAMD1A","all genes",22444.5000205159,0.130982324941742,0.246658047504192,1450.97797082652,-0.640282233535948,0.00266851184968001,"TE_down",-4.48140787501703,NA,NA,NA,-0.77126455847769
"ENSG00000133872.14",4445.12610622118,-0.595433044672339,3.37428149066471e-05,"SARAF","all genes",13847.4313127739,0.159328994571834,0.130875258478634,1389.39651582992,-0.439609343809648,0.0515788671867697,"TE_down",-4.47181869034705,NA,NA,NA,-0.598938338381482
"ENSG00000228594.4",448.817716888568,-1.8608821530726,3.37428149066471e-05,"FNDC10","all genes",2139.04613734819,0.770190588852668,1.28505971976699e-11,31.190800165569,-1.08743558421263,0.38289009888197,"TE_down",-4.47181869034705,"FNDC10",-0.5,0.3,-1.8576261730653
"ENSG00000165716.11",2404.28411028479,-0.920284443701236,3.83098462103945e-05,"DIPK1B","all genes",10648.6110144311,-0.064778305868402,0.707560427098054,288.723710484362,-0.991038224146143,0.00126087320515055,"TE_down",-4.41668959142885,NA,NA,NA,-0.926259918277741
"ENSG00000205250.9",2204.76427101578,-0.968787561008024,3.8919451635578e-05,"E2F4","all genes",8890.67543248494,0.52685408504372,2.88861962824428e-06,390.757174869478,-0.444147270135502,0.222068437337693,"TE_down",-4.40983328745097,NA,NA,NA,-0.971001355179222
"ENSG00000178567.8",1116.05426385102,0.860655435634437,6.76275281734323e-05,"EPM2AIP1","all genes",3923.34970441061,0.050841291445412,0.811175429707305,282.365372456716,0.908236432708568,0.00174303317765474,"TE_up",-4.16987648600741,NA,NA,0,0.857395141263156
"ENSG00000090487.11",2105.35979139151,-0.769483897775571,7.10113523199034e-05,"SPG21","all genes",7666.6400345778,0.33297842398805,0.00069860613889366,494.842852668485,-0.440031484616504,0.190017460721316,"TE_down",-4.14867221669248,NA,NA,NA,-0.773009908604554
"ENSG00000130508.11",1941.58984527269,-0.682475074262095,7.10113523199034e-05,"PXDN","all genes",5520.80618248228,-0.133105850433574,0.312474715504778,685.382551281803,-0.819425008609931,9.296715710842e-05,"TE_down",-4.14867221669248,NA,NA,NA,-0.686319158176357
"ENSG00000180228.13",1660.06077049793,-0.771472315834182,7.10113523199034e-05,"PRKRA","all genes",4396.17116734702,0.0237198177958926,0.917786108841861,633.015291865324,-0.750225636657259,0.00109629866334548,"TE_down",-4.14867221669248,"PRKRA",-0.5,0.3,-0.773945454453151
"ENSG00000071054.16",2900.75646243006,-0.844347632556178,8.22914643823872e-05,"MAP4K4","all genes",9269.91184283623,0.476311141120392,1.39614061552603e-07,870.627614328551,-0.370788528169598,0.243171588823511,"TE_down",-4.08464520930624,NA,NA,NA,-0.84709966928999
"ENSG00000186111.9",868.75421580998,-1.13908268800926,9.85391097514696e-05,"PIP5K1C","all genes",3516.14928027276,0.307482154857354,0.0129867354524064,152.528598391228,-0.837782622161181,0.066708865325023,"TE_down",-4.00639136566341,NA,NA,NA,-1.14526477701853
"ENSG00000029153.14",1237.03614239862,-1.0417162929632,0.000123557600374009,"ARNTL2","all genes",5810.08257650429,-0.103450665838405,0.480487577379976,99.6832745912753,-1.14692274928766,0.0156468488359665,"TE_down",-3.90813053477044,NA,NA,NA,-1.04347208344926
"ENSG00000163466.16",5572.36927780582,-0.714618449320201,0.000135257390714268,"ARPC2","all genes",14478.3706708281,0.231008120207716,0.0381982718103537,2164.03572213017,-0.485622347847082,0.0152545073212852,"TE_down",-3.86883899491841,NA,NA,NA,-0.716630468054798
"ENSG00000183779.7",8586.17535749871,-1.23960051861134,0.000175626303178582,"ZNF703","all genes",25571.0345889303,0.778478258600296,2.9506526874927e-26,2854.54303179518,-0.46232280385423,0.655675498379724,"TE_down",-3.75541044019616,NA,NA,NA,-1.24080106245453
"ENSG00000129250.12",4819.99306276389,-0.709851816940423,0.000208646908622439,"KIF1C","all genes",22028.8952055011,0.32352353202371,0.000270839509880751,474.716490187341,-0.390294979331988,0.3013550441188,"TE_down",-3.68058804554687,NA,NA,NA,-0.713818511355698
"ENSG00000187837.3",90936.8805579421,1.06875268093647,0.000208646908622439,"H1-2","all genes",1500.91173886047,-1.01220821706474,3.89868377934777e-09,69719.7994150865,0.051058570792729,0.927830472991078,"TE_up",-3.68058804554687,"H1-2",0.4,0,1.06326678785747
"ENSG00000176973.8",570.637778646057,-1.38861063453945,0.000238136826106267,"FAM89B","all genes",2610.19575684868,-0.0702402347285789,0.738364158315784,56.3492707500724,-1.47258573747287,0.0305795298009564,"TE_down",-3.62317343895863,NA,NA,NA,-1.40234550274429
"ENSG00000197694.17",9378.78448439996,0.464227925690635,0.000238136826106267,"SPTAN1","all genes",12888.8937728731,-0.313103454360367,0.000334220492123681,5323.39236862881,0.147880900324664,0.664931346897518,"TE_up",-3.62317343895863,NA,NA,0,0.460984354685031
"ENSG00000176105.14",2229.475610924,-0.621575540577733,0.000252058621105935,"YES1","all genes",6959.90396455637,0.313039096880569,0.000846134606420996,694.001324252886,-0.311803342666787,0.366750064118253,"TE_down",-3.59849844389254,NA,NA,NA,-0.624842439547356
"ENSG00000226174.7",694.699864949633,-0.900964080143952,0.000274976542169257,"TEX22","all genes",2174.11020169299,0.318526882394036,0.0101158950545367,215.610826370198,-0.584705134700828,0.17371588892348,"TE_down",-3.56070435359149,NA,NA,NA,-0.903232017094864
"ENSG00000180596.7",9436.23217026628,1.23443082122619,0.000295056891149956,"H2BC4","Histone genes",86.5945428582453,-0.990568056881265,0.0609396272090383,7242.06713034693,0.233593561905787,0.418728917920206,"TE_up",-3.53009423781722,"H2BC4",0.4,0,1.22416161878705
"ENSG00000179364.13",1650.49773317798,-0.76921845340143,0.000372639906296558,"PACS2","all genes",7318.78081881195,0.340164032801449,0.000216897315355562,195.629949354902,-0.431801074643069,0.423791543843158,"TE_down",-3.42871063801639,NA,NA,NA,-0.771965107444519
"ENSG00000144711.16",2220.52108338072,-0.690929094714382,0.000421819251250636,"IQSEC1","all genes",8471.49607487354,0.399449204829584,9.23764967370289e-06,465.080586935225,-0.295986220581101,0.507657920012826,"TE_down",-3.37487360354122,NA,NA,NA,-0.695435425410685
"ENSG00000164742.16",1175.72940305089,-1.4918458423304,0.000421819251250636,"ADCY1","all genes",5933.3387070194,0.0504432401445431,0.799962310898106,34.0993180210836,-1.44388233256322,0.145216401002542,"TE_down",-3.37487360354122,NA,NA,NA,-1.49432557270776
"ENSG00000111666.11",2170.82641568816,-0.701838054434379,0.000437172252052811,"CHPT1","all genes",7574.02575086233,0.247963753633097,0.0128594158238357,558.952108661293,-0.457337514295886,0.149017585765428,"TE_down",-3.35934741113858,NA,NA,NA,-0.705301267928983
"ENSG00000233822.4",3497.39432367787,0.951931910573152,0.000455614128216897,"H2BC15","Histone genes",827.102769371608,-0.688376358473065,0.000375210626362226,2568.1399489617,0.258853792393772,0.344196698789957,"TE_up",-3.34140281727182,"H2BC15",0.4,0,0.947230150866838
"ENSG00000117411.16",3090.03881803355,-0.775698543671257,0.000489021956575991,"B4GALT2","all genes",15081.8752149978,0.114024957729178,0.350349997356108,164.671667909515,-0.668382595770807,0.162270775378889,"TE_down",-3.31067164106918,NA,NA,NA,-0.782407553499985
"ENSG00000132613.15",2222.68206799381,-0.6864095234337,0.000489295911189328,"MTSS2","all genes",8649.33069493346,0.451890496772462,1.98349534934769e-07,440.326504058197,-0.238726769985183,0.643927032022146,"TE_down",-3.31042841341507,NA,NA,NA,-0.690617266757644
"ENSG00000184887.13",1472.0771419167,-1.18702675563164,0.000489295911189328,"BTBD6","all genes",6886.0889003776,0.390032180384499,0.00247982701280642,121.670486951082,-0.803128171007824,0.160126472658725,"TE_down",-3.31042841341507,NA,NA,NA,-1.19316035139232
"ENSG00000160075.12",5002.36317336068,-0.56246854019763,0.000514611644253061,"SSU72","all genes",15870.6909545448,0.533619721485985,4.68617039211277e-11,1518.18913636931,-0.0318764129454974,0.963587537510873,"TE_down",-3.28852039111899,NA,NA,NA,-0.565496134431483
"ENSG00000156381.9",864.58405371552,-1.28828179211608,0.000602034752985532,"ANKRD9","all genes",4122.8868827078,0.341591209323324,0.00628948605602513,60.1122333952481,-0.953495900054299,0.233566864992251,"TE_down",-3.22037843798768,NA,NA,NA,-1.29508710937762
"ENSG00000004975.12",2681.88412477098,-0.795295290011636,0.000660625571089709,"DVL2","all genes",8401.08689729116,0.581222621628429,8.85364117693585e-12,830.252590957606,-0.21685893352437,0.658353913746893,"TE_down",-3.18004461991463,"DVL2",-0.5,0.3,-0.798081555152798
"ENSG00000151208.17",2651.37125425806,-0.628430395749424,0.000695152474354904,"DLG5","all genes",10459.8361237108,0.118300368447674,0.368565968312972,505.437935678809,-0.51269086622699,0.0693105021603265,"TE_down",-3.1579199270527,NA,NA,NA,-0.630991234674664
"ENSG00000160191.18",1319.82910619031,-0.72531287625053,0.000695152474354904,"PDE9A","all genes",3868.07841058989,0.311332674694994,0.00438904701238914,447.926056662591,-0.416540703458277,0.243171588823511,"TE_down",-3.1579199270527,NA,NA,NA,-0.727873378153271
"ENSG00000149547.15",3141.22437600409,-0.859665612851582,0.000719917851186148,"EI24","all genes",14116.4748785325,0.335711944263458,0.00338097795770578,344.342070691693,-0.525193074671906,0.150956649908984,"TE_down",-3.14271705747427,NA,NA,NA,-0.860905018935364
"ENSG00000122778.9",1329.57774740886,-0.747786793391214,0.000905768952838297,"KIAA1549","all genes",4556.25325298102,0.324985740884509,0.00169772111082805,354.317653365601,-0.425769180121728,0.293349241989261,"TE_down",-3.0429825697671,NA,NA,NA,-0.750754921006237
"ENSG00000167671.12",2319.392467187,-0.697514934276199,0.000988636284520425,"UBXN6","all genes",8576.34301170315,0.316448382403437,0.00201435093925516,526.213524694312,-0.384732758928111,0.290949343743825,"TE_down",-3.0049634542861,NA,NA,NA,-0.701181141331548
"ENSG00000187742.15",1504.97586871843,-0.706689957281793,0.000988636284520425,"SECISBP2","all genes",4779.48970738168,0.0320879148895615,0.879826794670424,457.170777539481,-0.677403028830425,0.0113581833881502,"TE_down",-3.0049634542861,NA,NA,NA,-0.709490943719987
"ENSG00000101400.6",858.588012005056,-0.905052596212242,0.00111367680774046,"SNTA1","all genes",3582.85115414911,0.242677719317291,0.0505475273831603,135.033635263744,-0.666997808698126,0.212829847310475,"TE_down",-2.95324082440419,NA,NA,NA,-0.909675528015417
"ENSG00000143537.13",3703.91846629264,-0.576719614543874,0.00111367680774046,"ADAM15","all genes",14305.2990943544,0.146234130167255,0.225272635084294,751.48242517915,-0.434350308610076,0.112654981342391,"TE_down",-2.95324082440419,NA,NA,NA,-0.580584438777331
"ENSG00000159461.15",5113.45704223151,-0.553988012559863,0.00112602638967417,"AMFR","all genes",13357.1901190844,0.0262454614159436,0.890912448044254,1976.33637724323,-0.531148433398601,0.00643747743934133,"TE_down",-2.94845143119376,NA,NA,NA,-0.557393894814545
"ENSG00000144485.11",1404.36201485274,-1.26372638894703,0.00127945245583619,"HES6","all genes",6102.49711242312,0.477452764996307,7.1352981035202e-07,185.103653119808,-0.792383854522465,0.138432438589172,"TE_down",-2.89297584776165,NA,NA,NA,-1.26983661951877
"ENSG00000197483.10",321.207372334502,-1.65019210069549,0.001320146364832,"ZNF628","all genes",970.54416565405,1.30592853592114,2.76336634370963e-23,104.6107125165,-0.347549882550713,0.778124606189856,"TE_down",-2.87937791582824,"ZNF628",-0.5,0.3,-1.65347841847186
"ENSG00000136848.17",973.667719610088,-0.798199938672391,0.00133290209837215,"DAB2IP","all genes",3949.30964378845,0.149602255384349,0.254645377513318,169.85353900268,-0.652884542128332,0.163954178323779,"TE_down",-2.87520174833422,NA,NA,NA,-0.802486797512681
"ENSG00000184216.14",11635.417467814,-0.783741115605198,0.00142153933171058,"IRAK1","all genes",55915.3293410897,0.368391864964051,1.00487406638352e-05,743.305095139862,-0.418492609051658,0.238816277758437,"TE_down",-2.84724111957638,NA,NA,NA,-0.786884474015709
"ENSG00000283900.1",5288.82523870266,-0.487681506077654,0.00142153933171058,"TPTEP2-CSNK1E","all genes",15448.8147103163,0.00499049706585115,0.98270374293325,1804.90842967781,-0.48623446963081,0.0157649212577294,"TE_down",-2.84724111957638,NA,NA,NA,-0.491224966696661
"ENSG00000163399.16",34326.004531937,-0.483805401490868,0.0015022145736556,"ATP1A1","all genes",66595.1238434422,-0.0276036743379372,0.876527947298949,16656.6124809434,-0.515191780869452,0.00174303317765474,"TE_down",-2.82326802905032,NA,NA,NA,-0.487588106531515
"ENSG00000072062.14",2874.20277750073,-0.593769449616717,0.00169260707711736,"PRKACA","all genes",7084.7608028775,0.293097364892101,0.00564848988583468,1172.14655437656,-0.303334289046969,0.310873732464609,"TE_down",-2.77144384758802,NA,NA,NA,-0.59643165393907
"ENSG00000141568.21",4016.75398073588,-0.677375630370829,0.00173030756455393,"FOXK2","all genes",16103.218393991,0.279460075030999,0.00401305616329706,727.253316519264,-0.401076559610549,0.213146907012666,"TE_down",-2.7618766935669,NA,NA,NA,-0.680536634641548
"ENSG00000176871.8",1413.29894879585,-0.930916070753082,0.00175334637296417,"WSB2","all genes",6604.83364656264,-0.000798449142034464,0.997713898920557,118.630883833739,-0.943526801701807,0.0730997499518925,"TE_down",-2.75613228070737,NA,NA,NA,-0.942728352559773
"ENSG00000109685.18",7454.47011458072,-0.670909403611965,0.0018217008124312,"NSD2","all genes",26434.5926734308,0.452705652071085,4.63108788326982e-08,1853.45013453016,-0.222152505489474,0.546305825622721,"TE_down",-2.73952294798849,NA,NA,NA,-0.674858157560559
"ENSG00000131626.18",2290.19275981586,-0.659772149338312,0.00185675678256067,"PPFIA1","all genes",5531.75672854206,0.511007823668226,2.7812845590619e-08,949.470416053451,-0.151696593250437,0.765360752942104,"TE_down",-2.73124498097192,NA,NA,NA,-0.662704416918662
"ENSG00000280607.1",2823.6261336003,-0.746164630871397,0.00185675678256067,"AC009133.5","all genes",10416.7660264651,0.363656979135837,2.8398492897167e-05,644.069521052803,-0.386130793976397,0.309814951284146,"TE_down",-2.73124498097192,NA,NA,NA,-0.749787773112234
"ENSG00000102109.9",677.112837514947,-1.09753617070459,0.001889972839038,"PCSK1N","all genes",1937.82000130878,0.11529886706015,0.61090897461428,237.281591592181,-0.986449878658769,0.0055226875891183,"TE_down",-2.72354443706521,NA,NA,NA,-1.10174874571892
"ENSG00000125534.10",4339.88120597649,-0.983949838731235,0.00195281948273459,"PPDPF","all genes",13647.9914241227,0.248233640587495,0.0336556695894086,1338.97551783709,-0.736619298278246,0.00494519657392772,"TE_down",-2.7093379007345,NA,NA,NA,-0.984852938865741
"ENSG00000134686.18",2148.74131336874,-0.583950560407177,0.00196121203363361,"PHC2","all genes",7397.04697021067,0.12439420508655,0.345440135394933,568.284417096429,-0.462586746654603,0.112040368832,"TE_down",-2.70747545066722,NA,NA,NA,-0.586980951741153
"ENSG00000166900.17",841.68363487955,-1.35076108352643,0.00196121203363361,"STX3","all genes",3480.85645743598,0.346959766948184,0.00256764164494539,136.69528992269,-1.00390759606904,0.0617044616016458,"TE_down",-2.70747545066722,NA,NA,NA,-1.35086736301722
