"","baseMean_riborna","log2FoldChange_riborna","padj_riborna","symb","biotype","baseMean_rna","log2FoldChange_rna","padj_rna","baseMean_ribo","log2FoldChange_ribo","padj_ribo","tx_type","log10_padj_riborna","symb_deplot","nudgey","nudgex","log10_padj_riborna_flat"
"ENSG00000162736.17",308.978002570413,0.644906929173422,0.0666148311440055,"NCSTN","all genes",522.096929718088,-0.061585055219005,0.99992408498771,140.681455091562,0.593088736558325,0.439230266664907,"Not_significant",-1.1764290686236,NA,NA,NA,-1.1764290686236
"ENSG00000163660.11",527.644301377072,-0.584073381180131,0.190577952128113,"CCNL1","all genes",2376.62165512039,0.115182439736388,0.99992408498771,104.254485153828,-0.484556370441076,0.999476973742387,"Not_significant",-0.719927344111943,NA,NA,NA,-0.719927344111943
"ENSG00000109501.14",220.275095099143,0.656274997252608,0.332417669963874,"WFS1","all genes",287.34902913461,-0.188090525161125,0.99992408498771,108.045940956378,0.470648437543741,0.999476973742387,"Not_significant",-0.478315898955785,NA,NA,NA,-0.478315898955785
"ENSG00000115756.13",369.190164653335,0.552534116984286,0.341168025075159,"HPCAL1","all genes",1023.83473734603,-0.106996368156608,0.99992408498771,131.459276524457,0.446144099121059,0.999476973742387,"Not_significant",-0.467031678513113,NA,NA,NA,-0.467031678513113
"ENSG00000142798.20",266.134361680824,0.644817931430039,0.354941860987928,"HSPG2","all genes",457.847573395183,-0.255997625080303,0.99992408498771,120.400199863999,0.391182851768057,0.999476973742387,"Not_significant",-0.449842777986953,NA,NA,NA,-0.449842777986953
"ENSG00000198840.2",1300.48083352358,-0.432574139318171,0.434567424871471,"MT-ND3","all genes",1237.72434349501,0.289336681905415,0.780206750795811,680.070959933949,-0.145894650255547,0.999476973742387,"Not_significant",-0.36194283146416,NA,NA,NA,-0.36194283146416
"ENSG00000170348.9",885.67613144111,0.351510682218446,0.479426427633777,"TMED10","all genes",2953.50023814071,-0.0176293160521324,0.99992408498771,269.848453507049,0.324290935085926,0.999476973742387,"Not_significant",-0.31927802983683,NA,NA,NA,-0.31927802983683
"ENSG00000251571.1",141.227659777587,2.34912988962485,0.479426427633777,"DDX3P3","all genes",444.34110791835,-6.39636727434247,2.17941201418248e-14,45.4944486855602,-4.15410836910775,1.15920827061969e-10,"RNA_down",-0.31927802983683,"DDX3P3",0,0,-0.31927802983683
"ENSG00000234741.8",1911.48786851088,-0.47555227492665,0.533893386629192,"GAS5","all genes",11293.3725676237,-0.206192645022358,0.0408763325439815,131.975457016282,-0.697080054131535,0.169683825975131,"Not_significant",-0.272545458741712,NA,NA,NA,-0.272545458741712
"ENSG00000251246.1",52.9805451020598,-1.26403403645976,0.644641073564714,"AL691442.2","all genes",94.8794575285395,0.595634252307438,0.99992408498771,23.6215327404444,-0.631609859723984,0.999476973742387,"Not_significant",-0.190682026694896,NA,NA,NA,-0.190682026694896
"ENSG00000118181.11",1699.24679305059,-0.32171163005723,0.6883867701568,"RPS25","all genes",4609.67230347042,0.0585952496787244,0.99992408498771,614.599901547641,-0.263036571284225,0.857736025975236,"Not_significant",-0.162167484804543,NA,NA,NA,-0.162167484804543
"ENSG00000015133.19",142.603561506209,-0.892740581548396,0.692806316147936,"CCDC88C","all genes",614.00383303249,-0.0339934060705447,0.99992408498771,30.7684468724579,-0.895751740457174,0.999476973742387,"Not_significant",-0.159388161614712,NA,NA,NA,-0.159388161614712
"ENSG00000178209.15",2311.7169369526,-0.267953311102199,0.692806316147936,"PLEC","all genes",5547.61991199983,-0.0678030624035935,0.99992408498771,902.39327502292,-0.333734905625466,0.0187859767850763,"Not_significant",-0.159388161614712,NA,NA,NA,-0.159388161614712
"ENSG00000155463.14",558.219104316058,0.36565205989143,0.854775379548993,"OXA1L","all genes",1458.6638146746,-0.165775650409336,0.99992408498771,206.988164056411,0.191369200924511,0.999476973742387,"Not_significant",-0.0681479954925298,NA,NA,NA,-0.0681479954925298
"ENSG00000177150.13",105.042750570519,-0.913785822509406,0.854775379548993,"FAM210A","all genes",388.104716188453,-0.0432743875280191,0.99992408498771,28.5422546443189,-0.947258741564842,0.999476973742387,"Not_significant",-0.0681479954925298,NA,NA,NA,-0.0681479954925298
"ENSG00000013588.8",1726.83128559383,0.187978177783275,0.897524875662016,"GPRC5A","all genes",2833.71496906558,-0.0689513159220625,0.99992408498771,794.008341579004,0.117906758750935,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000025772.8",360.165521981453,0.413650380208977,0.897524875662016,"TOMM34","all genes",1246.99021026178,-0.110597230099755,0.99992408498771,105.533764536746,0.290458486348817,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000054965.10",194.784628205844,0.613641487458337,0.897524875662016,"FAM168A","all genes",629.944938351086,0.0677924384412105,0.99992408498771,61.141481960639,0.701891643824632,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000055044.11",717.267376191573,-0.30763216362954,0.897524875662016,"NOP58","all genes",2691.5668312589,-0.0153291561783132,0.99992408498771,191.128185510212,-0.325397363943243,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000062194.16",472.999455666475,-0.506305129539557,0.897524875662016,"GPBP1","all genes",2272.96774429242,0.0772972306726433,0.99992408498771,80.4210780710516,-0.435274693505058,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000063176.16",66.0850200783518,1.01590407103768,0.897524875662016,"SPHK2","all genes",166.853051108268,-0.202817521781849,0.99992408498771,25.0458583271393,0.800443693307139,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000065054.14",105.853698109116,0.855018915626063,0.897524875662016,"SLC9A3R2","all genes",416.419692856161,0.107545645436603,0.99992408498771,26.4393351493618,0.952670584637059,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000070061.15",327.280137605745,-0.428624955040124,0.897524875662016,"ELP1","all genes",951.136792010683,-0.0777944153460074,0.99992408498771,112.588697250549,-0.50364596377541,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000088682.14",260.977130933909,0.500385839192356,0.897524875662016,"COQ9","all genes",997.330647605946,-0.164770458208367,0.99992408498771,67.8876898205365,0.327576641283812,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000089234.16",215.328697965002,-0.559222077743843,0.897524875662016,"BRAP","all genes",818.591688914919,0.0481367017262548,0.99992408498771,56.4060900390122,-0.521755629069486,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000092820.18",6692.74313658071,-0.201695906493932,0.897524875662016,"EZR","all genes",13533.2035403267,0.132164482706013,0.99992408498771,2843.84451928525,-0.0700568769248748,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000099624.8",896.449990237065,-0.283445303708549,0.897524875662016,"ATP5F1D","all genes",662.039441544117,0.192222476440701,0.99992408498771,486.308160761872,-0.0915752145059474,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000100138.15",883.612529641069,0.283689938447032,0.897524875662016,"SNU13","all genes",1922.46048255184,-0.162969427296208,0.99992408498771,363.019007805608,0.115312066589989,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000100220.12",305.465421877519,0.440681632276978,0.897524875662016,"RTCB","all genes",886.883026422451,0.0119570308022012,0.99992408498771,105.125775931642,0.439667867244556,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000100815.12",259.400237509538,-0.567335815070544,0.897524875662016,"TRIP11","all genes",1163.5195222636,0.0359247428560485,0.99992408498771,51.7208908558492,-0.550895371956175,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000103187.8",1340.49987701175,-0.241278304290536,0.897524875662016,"COTL1","all genes",3887.30170678264,-0.0209490795203506,0.99992408498771,461.815615437427,-0.255181265751609,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000103257.9",1554.70940556506,0.307555508473662,0.897524875662016,"SLC7A5","all genes",4751.02478649895,-0.117305299647394,0.99992408498771,513.345811684109,0.191814192993043,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000105426.16",426.469377927157,0.425744364474663,0.897524875662016,"PTPRS","all genes",1388.34995029691,0.0286021488673662,0.99992408498771,133.043861803608,0.446203638695616,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000105613.10",51.8248743172743,-0.942445344561096,0.897524875662016,"MAST1","all genes",89.6547496021279,0.24913382681369,0.99992408498771,23.427137489606,-0.700573880740064,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000106263.18",1624.04998320258,-0.206624176583148,0.897524875662016,"EIF3B","all genes",4449.77178518026,0.00161995075911577,0.99992408498771,583.330579282222,-0.207302349532646,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000107164.16",516.730573288129,-0.328640411473312,0.897524875662016,"FUBP3","all genes",1516.88797104996,0.139643051599327,0.99992408498771,176.332574658741,-0.186902804036808,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000107404.20",483.910296927719,-0.584809119037126,0.897524875662016,"DVL1","all genes",2587.6305581657,0.0205183699991526,0.99992408498771,58.2669050835765,-0.568579144054479,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000109220.11",71.0591391346774,-0.92609138495293,0.897524875662016,"CHIC2","all genes",229.212361825904,0.0713714992008279,0.99992408498771,22.3696933067909,-0.874969329432208,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000112306.8",4551.05735310315,-0.23875166550226,0.897524875662016,"RPS12","all genes",23873.3424531824,-0.00754065416720515,0.99992408498771,590.279514386143,-0.246115828550728,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000113068.10",267.174856845319,0.509204819218019,0.897524875662016,"PFDN1","all genes",920.572070467608,-0.201877015984763,0.99992408498771,78.6848955885279,0.315320599032992,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000115267.8",161.754009900044,-0.597900670370043,0.897524875662016,"IFIH1","all genes",478.834887090105,0.613889706692703,0.00379993608260025,54.8081458517276,0.00853894827594637,0.999476973742387,"RNA_up",-0.0469535057434777,NA,0,0,-0.0469535057434777
"ENSG00000115306.16",772.780677383784,-0.347348418015207,0.897524875662016,"SPTBN1","all genes",2887.67688779521,-0.0538134562220478,0.99992408498771,207.02918826777,-0.40960633571937,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000115657.14",80.962689777617,0.766948848353694,0.897524875662016,"ABCB6","all genes",189.444446244827,-0.00887245378556138,0.99992408498771,32.0476745170825,0.760720075614632,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000115884.11",495.941225619535,0.344237130003693,0.897524875662016,"SDC1","all genes",1095.38873862117,-0.115982483924226,0.99992408498771,202.220780115609,0.242121456626829,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000121211.8",85.2465585032344,-0.827862561727429,0.897524875662016,"MND1","all genes",289.804533001421,0.0715133416602482,0.99992408498771,25.4747253351407,-0.74361997713319,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000121766.15",100.610621907479,-0.837167227325247,0.897524875662016,"ZCCHC17","all genes",419.945791303017,0.0355631678066565,0.99992408498771,22.9274672321058,-0.862876460696624,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000123146.20",301.386528684831,0.467716439965688,0.897524875662016,"ADGRE5","all genes",415.038163590209,-0.0956533367486997,0.99992408498771,145.860659718905,0.356120983370332,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000123268.9",194.289412488878,-0.558520374925875,0.897524875662016,"ATF1","all genes",695.415432452544,0.0124716955964998,0.99992408498771,54.86462049547,-0.536572395151648,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000125356.7",486.706826001092,-0.356491219366138,0.897524875662016,"NDUFA1","all genes",1050.65028907791,0.0250130222559098,0.99992408498771,200.728761414086,-0.339184602370527,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000125386.15",165.214658085961,-0.624006287511303,0.897524875662016,"FAM193A","all genes",617.140623091389,0.0179047130259208,0.99992408498771,44.2812875789084,-0.625308456751057,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000126107.15",114.369650082835,0.654494649741835,0.897524875662016,"HECTD3","all genes",282.088719146306,0.00197992481809691,0.99992408498771,43.9315156805991,0.645985980689002,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000130313.7",103.603304633813,0.69007836083815,0.897524875662016,"PGLS","all genes",215.858907565057,-0.111087561696465,0.99992408498771,43.4376336196579,0.58127345742285,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000130764.10",361.147529097324,0.392395922169746,0.897524875662016,"LRRC47","all genes",886.079484331904,-0.133864372241429,0.99992408498771,139.162811344103,0.251569318518981,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000131016.17",9367.86253725636,-0.137482165115132,0.897524875662016,"AKAP12","all genes",24053.3565244471,0.0418685929752247,0.99992408498771,3512.47102285659,-0.0966277867231828,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000131899.11",250.811613427005,0.484131895243643,0.897524875662016,"LLGL1","all genes",795.17309224982,-0.0551571088707743,0.99992408498771,80.1934454739961,0.426827360754954,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000133943.20",110.095308027834,0.685472995299763,0.897524875662016,"DGLUCY","all genes",308.872421829088,0.221283687252087,0.99992408498771,38.87803497222,0.872772162915585,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000137955.16",881.076583639851,-0.306228867111614,0.897524875662016,"RABGGTB","all genes",3938.13391006596,0.0503928827193254,0.99992408498771,176.901770964746,-0.256564216411227,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000138166.6",1931.77821051944,0.249332241299276,0.897524875662016,"DUSP5","all genes",8284.12001627829,-0.210565029653351,0.0222575057656151,419.850276657428,0.046978544319852,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000139083.11",90.1647552103514,0.897422189228701,0.897524875662016,"ETV6","all genes",318.476959710431,0.0414169543547333,0.99992408498771,25.8371572036265,0.933203622946029,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000139971.15",44.5709226256524,-0.971347274082645,0.897524875662016,"ARMH4","all genes",67.179892132591,0.260203200646702,0.99992408498771,21.042003902937,-0.717957117957106,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000141503.17",227.130543296204,-0.54735624519101,0.897524875662016,"MINK1","all genes",790.968022970678,0.113102574771763,0.99992408498771,66.151361685523,-0.447692613914193,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000141582.15",187.199076964197,0.553259987847505,0.897524875662016,"CBX4","all genes",396.491698754852,-0.0475267372627571,0.99992408498771,77.8830706015014,0.496369898191836,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000141646.14",428.173245338788,0.467385434976397,0.897524875662016,"SMAD4","all genes",1516.05156782498,-0.101591197420848,0.99992408498771,122.389940950661,0.369854989098902,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000142751.15",204.916428371744,-0.552470524054866,0.897524875662016,"GPN2","all genes",588.090373665838,0.0193877385531966,0.99992408498771,71.1695133053609,-0.55457254106142,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000144674.16",504.185525282057,-0.491326551250099,0.897524875662016,"GOLGA4","all genes",2327.74315011177,0.10585947369444,0.99992408498771,94.4280680493359,-0.377673706706132,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000147457.14",176.074179925504,-0.683726209213446,0.897524875662016,"CHMP7","all genes",628.624264005974,0.138463856083942,0.99992408498771,49.8600042672373,-0.622676007389198,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000148296.7",211.66284280704,-0.504642223467121,0.897524875662016,"SURF6","all genes",539.670856016531,-0.0211660185446042,0.99992408498771,79.7019321890457,-0.538568852228902,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000149273.15",3456.98121267808,-0.204834180470587,0.897524875662016,"RPS3","all genes",13498.5493989466,0.041376672929303,0.99992408498771,872.847007059462,-0.167662278056575,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000149577.16",63.9705300798531,0.965392962478614,0.897524875662016,"SIDT2","all genes",162.94313743032,0.0123929017501416,0.99992408498771,24.1026734057984,1.00512772626483,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000151131.11",126.477648473607,0.703987143422944,0.897524875662016,"C12orf45","all genes",437.924354768397,-0.19875818860988,0.99992408498771,37.0492323912466,0.52407327298503,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000152518.8",159.169686326008,0.616704667680053,0.897524875662016,"ZFP36L2","all genes",298.067838065484,0.000271338461019948,0.99992408498771,69.796503645696,0.625516229569661,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000152620.13",114.129251105958,0.845708029013743,0.897524875662016,"NADK2","all genes",476.45074208592,0.0193289799678795,0.99992408498771,25.9938431441165,0.840912557535306,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000153551.14",580.249129264951,0.339560993988815,0.897524875662016,"CMTM7","all genes",1331.87135721783,0.0412087899646282,0.99992408498771,231.995129844993,0.378458193195585,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000156875.14",146.402210051522,-0.943156114949175,0.897524875662016,"MFSD14A","all genes",744.313395634694,0.0371840434942177,0.99992408498771,21.1549245032462,-0.936047611982444,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000156976.17",1595.48838482604,-0.264340128195124,0.897524875662016,"EIF4A2","all genes",7306.01956195712,-0.0570011435266152,0.99992408498771,304.333275592304,-0.329096558673886,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000160360.13",118.653216629353,-0.787128010090848,0.897524875662016,"GPSM1","all genes",476.998516500732,-0.0476594916669897,0.99992408498771,28.7178722169022,-0.863105831292671,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000160584.16",304.085187880928,0.556561269498441,0.897524875662016,"SIK3","all genes",1297.32676368074,-0.0998613305057085,0.99992408498771,66.6971058014779,0.445821534649666,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000162430.17",353.323410240746,0.4266788517363,0.897524875662016,"SELENON","all genes",1313.97668794063,-0.0369260045759277,0.99992408498771,95.23024454047,0.399238997682412,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000162517.13",218.616031826523,0.597540924481424,0.897524875662016,"PEF1","all genes",726.879133119067,-0.103635451307793,0.99992408498771,66.8026718437817,0.496939527998696,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000162980.17",184.283247143521,-0.73361748029737,0.897524875662016,"ARL5A","all genes",912.930583309739,-0.0248506053433004,0.99992408498771,28.8343153523686,-0.771980112988168,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000164609.10",292.920405566852,-0.510005736233434,0.897524875662016,"SLU7","all genes",1176.60630374438,0.00452830221931321,0.99992408498771,70.9520150222597,-0.48262652705503,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000167702.12",141.127006160998,-0.723544580772508,0.897524875662016,"KIFC2","all genes",594.353503510724,0.17562895268422,0.99992408498771,31.6679386786357,-0.539844430964999,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000167755.15",136.119314791999,0.581925249842204,0.897524875662016,"KLK6","all genes",240.515231244746,0.170989255403955,0.99992408498771,61.0122566156234,0.759549707379959,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000170175.11",97.7099000379491,0.778702513666447,0.897524875662016,"CHRNB1","all genes",242.574306030024,-0.0852153525983422,0.99992408498771,37.3960282443812,0.690581196270144,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000171130.18",131.137377242677,0.679339053939066,0.897524875662016,"ATP6V0E2","all genes",431.446390807233,-0.0628557788517121,0.99992408498771,40.4882883065436,0.609569637091784,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000171497.5",322.311449969257,-0.412600005574841,0.897524875662016,"PPID","all genes",1044.56198045133,0.202485195045994,0.99992408498771,100.977234646224,-0.223100468144663,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000173039.19",468.70237268232,0.392265357751778,0.897524875662016,"RELA","all genes",1317.46800698875,-0.222272519242472,0.99992408498771,165.306561888318,0.167817183558671,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000174444.15",5151.11035556506,-0.268396343136756,0.897524875662016,"RPL4","all genes",27530.4011670381,-0.0481622323515025,0.99992408498771,621.49227749653,-0.314959137477071,0.249962221387029,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000175061.18",2536.6652793976,-0.253765465871167,0.897524875662016,"SNHG29","all genes",13001.203016855,-0.0193953876544179,0.99992408498771,356.931173415584,-0.272837028198135,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000175215.11",212.525444865759,0.644976861667069,0.897524875662016,"CTDSP2","all genes",971.792074762912,-0.0112397500001385,0.99992408498771,40.654213434702,0.617200169750113,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000178149.17",104.716662824129,0.689463254778074,0.897524875662016,"DALRD3","all genes",271.159254717445,-0.0530883304546139,0.99992408498771,39.0511286125199,0.645215561585928,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000179820.16",615.245381552215,0.358920168855386,0.897524875662016,"MYADM","all genes",454.516113845064,-0.152331315671714,0.99992408498771,333.715262387677,0.198200254196717,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000181396.13",132.121562969239,0.689302827668424,0.897524875662016,"OGFOD3","all genes",433.524067033565,-0.166885233904917,0.99992408498771,40.8980797539006,0.530907524455388,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
"ENSG00000181467.5",371.804261433233,0.427608193636044,0.897524875662016,"RAP2B","all genes",1348.97620207358,-0.00591490157425662,0.99992408498771,103.274941710089,0.421412150870919,0.999476973742387,"Not_significant",-0.0469535057434777,NA,NA,NA,-0.0469535057434777
